 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Unidade da Federação e Ano processamento
Período:Jan/2008-Mar/2021
"Unidade da Federação";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";71821;95208;100265;98808;94517;107322;116066;111558;111299;113432;119878;122900;103107;20959;1387140
"12 Acre";46087;48600;49687;52218;51027;51513;52733;49199;48391;44002;44611;44563;43071;11367;637069
"13 Amazonas";163791;153793;160880;167585;164109;167015;152568;168896;166305;175069;184790;196792;179524;47637;2248754
"14 Roraima";24703;30045;31199;27269;32082;33884;30329;34834;40269;43658;43745;44672;39561;9739;465989
"15 Pará";509338;526745;528520;511097;487950;498765;490632;471753;463631;480382;493920;484950;433008;98384;6479075
"16 Amapá";31564;38740;36584;37015;38382;38215;36849;34652;32653;33608;38012;40876;31973;9545;478668
"17 Tocantins";98328;99522;104039;107184;105564;105152;102788;82858;78529;76420;68011;81159;66150;1619;1177323
"21 Maranhão";327886;359974;396170;404317;393539;408828;415665;423439;405325;434037;466899;461473;387541;89262;5374355
"22 Piauí";226411;236765;236534;226677;216407;219884;208979;210171;217161;209821;216767;219187;180582;46542;2871888
"23 Ceará";480561;494594;489136;482239;446055;464878;479365;478707;471118;469258;499463;525966;451859;107880;6341079
"24 Rio Grande do Norte";161087;166153;172761;170954;162933;162820;158346;160249;157770;161793;172367;182974;164215;38090;2192512
"25 Paraíba";223474;233142;235608;212369;197425;197650;191084;179866;176365;183532;183311;188246;156491;39638;2598201
"26 Pernambuco";489817;499041;517767;527844;526687;535716;540616;532148;535647;556817;559226;579057;485904;121046;7007333
"27 Alagoas";178029;177464;179644;179336;165934;166864;157005;166343;168501;171817;172327;171660;145032;38535;2238491
"28 Sergipe";99590;91934;93575;90741;91605;89071;88569;95148;94334;91872;94259;94355;86109;23252;1224414
"29 Bahia";829707;875749;890115;872513;844379;806999;819507;830377;799999;793396;819187;842569;700702;168634;10893833
"31 Minas Gerais";1124789;1120784;1129845;1150138;1157007;1180606;1223629;1202583;1182982;1187911;1236742;1283580;1106602;274382;15561580
"32 Espírito Santo";178076;193198;194424;211434;212876;211714;221146;227891;232395;241093;242267;246301;225391;58603;2896809
"33 Rio de Janeiro";629592;639460;666471;657720;629744;618799;635657;678482;639101;656151;700376;730779;656689;166855;8705876
"35 São Paulo";2162155;2273008;2351919;2363232;2333218;2337825;2372545;2381371;2393286;2417180;2465311;2537199;2201600;560418;31150267
"41 Paraná";729514;764524;778787;762982;765036;749755;751930;758953;793912;828899;869464;879614;736883;181861;10352114
"42 Santa Catarina";369749;391421;387083;399178;404281;415552;441783;452952;466898;469868;488185;510756;422636;107890;5728232
"43 Rio Grande do Sul";712789;731736;725490;699817;719605;741882;759693;770416;750868;750611;741387;767093;671598;165337;9708322
"50 Mato Grosso do Sul";150921;158037;164050;156357;154068;164672;161552;164119;163198;163616;167575;177302;154629;37698;2137794
"51 Mato Grosso";173159;179110;181009;174177;182482;184513;185150;187635;192471;189403;190111;195153;167310;39676;2421359
"52 Goiás";362648;363813;371616;355192;330383;348103;349728;351023;328457;329738;326510;342936;302512;69600;4532259
"53 Distrito Federal";188017;186249;184787;183178;185294;189163;176373;172093;186203;196477;211940;229614;212543;57179;2559110
"Total";10743603;11128809;11357965;11281571;11092589;11197160;11320287;11377716;11297068;11469861;11816641;12181726;10513222;2591628;149369846
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
